ad_id,reporting_start,reporting_end,age,gender,interest1,interest2,interest3,Impressions,Clicks,Spend,total_conversion,approved_conversion,,Revenue,CTR,CPC,ROI
735140,19-08-2017,19-08-2017,40-44,F,26,27,31,6907.00,2.00,? 2.35,1,0,,0,0.03%,? 1.17,-100.00%
735143,19-08-2017,19-08-2017,40-44,F,27,28,30,39035.00,13.00,? 19.33,1,0,,0,0.03%,? 1.49,-100.00%
735151,19-08-2017,19-08-2017,40-44,F,28,30,31,926.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
735184,19-08-2017,19-08-2017,40-44,F,63,66,67,4412.00,1.00,? 1.45,1,0,,0,0.02%,? 1.45,-100.00%
735189,21-08-2017,21-08-2017,40-44,F,64,65,66,9965.00,3.00,? 4.05,1,0,,0,0.03%,? 1.35,-100.00%
735213,21-08-2017,21-08-2017,45-49,F,10,16,11,73634.00,23.00,? 32.98,1,0,,0,0.03%,? 1.43,-100.00%
735220,18-08-2017,18-08-2017,45-49,F,15,17,17,69708.00,20.00,? 31.29,1,0,,0,0.03%,? 1.56,-100.00%
735242,18-08-2017,18-08-2017,45-49,F,19,25,21,530.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
735247,18-08-2017,18-08-2017,45-49,F,20,24,25,14257.00,6.00,? 8.79,1,0,,0,0.04%,? 1.46,-100.00%
735289,18-08-2017,18-08-2017,45-49,F,27,30,30,20362.00,5.00,? 9.12,1,1,,100,0.02%,? 1.82,996.49%
735290,18-08-2017,18-08-2017,45-49,F,27,29,33,12215.00,4.00,? 6.26,1,0,,0,0.03%,? 1.57,-100.00%
735298,18-08-2017,18-08-2017,45-49,F,29,31,32,85412.00,28.00,? 38.64,2,1,,100,0.03%,? 1.38,158.80%
736869,18-08-2017,18-08-2017,30-34,M,2,6,8,2338.00,1.00,? 0.24,1,0,,0,0.04%,? 0.24,-100.00%
736890,18-08-2017,18-08-2017,30-34,M,15,16,20,2522.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
736893,18-08-2017,18-08-2017,30-34,M,16,17,17,3587.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
736977,18-08-2017,18-08-2017,30-34,M,27,30,28,1273.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
736988,21-08-2017,21-08-2017,30-34,M,28,29,29,3891.00,1.00,? 1.09,1,0,,0,0.03%,? 1.09,-100.00%
736995,21-08-2017,21-08-2017,30-34,M,29,34,34,1888.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
736997,21-08-2017,21-08-2017,30-34,M,29,32,33,1895.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
737097,21-08-2017,21-08-2017,35-39,M,7,10,11,715.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
737130,21-08-2017,21-08-2017,35-39,M,16,19,18,11199.00,2.00,? 2.68,1,0,,0,0.02%,? 1.34,-100.00%
737320,18-08-2017,18-08-2017,35-39,M,63,64,66,5676.00,2.00,? 3.01,1,0,,0,0.04%,? 1.50,-100.00%
737375,21-08-2017,21-08-2017,40-44,M,10,11,11,1415.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
737524,21-08-2017,21-08-2017,40-44,M,30,34,33,2148.00,1.00,? 1.58,1,1,,100,0.05%,? 1.58,6229.11%
737644,21-08-2017,21-08-2017,45-49,M,16,22,17,45401.00,10.00,? 14.06,1,0,,0,0.02%,? 1.41,-100.00%
737657,18-08-2017,18-08-2017,45-49,M,18,23,20,7478.00,2.00,? 2.90,1,1,,100,0.03%,? 1.45,3348.28%
737658,18-08-2017,18-08-2017,45-49,M,18,19,24,4919.00,1.00,? 1.59,1,0,,0,0.02%,? 1.59,-100.00%
737674,20-08-2017,20-08-2017,45-49,M,20,21,24,533.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
737766,20-08-2017,20-08-2017,45-49,M,29,33,33,1447.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
737896,20-08-2017,20-08-2017,30-34,F,16,21,22,17553.00,3.00,? 4.59,1,0,,0,0.02%,? 1.53,-100.00%
737931,20-08-2017,20-08-2017,30-34,F,20,26,24,3343.00,1.00,? 0.54,1,0,,0,0.03%,? 0.54,-100.00%
737961,20-08-2017,20-08-2017,30-34,F,23,29,28,523.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
737995,20-08-2017,20-08-2017,30-34,F,26,27,31,1873.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
738006,20-08-2017,20-08-2017,30-34,F,27,29,32,34740.00,7.00,? 13.41,1,1,,100,0.02%,? 1.92,645.71%
738067,20-08-2017,20-08-2017,30-34,F,32,37,36,658.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
738098,20-08-2017,20-08-2017,30-34,F,64,70,68,1539.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
738307,20-08-2017,20-08-2017,35-39,F,31,36,36,3010.00,1.00,? 0.86,1,1,,100,0.03%,? 0.86,11527.91%
738389,19-08-2017,19-08-2017,40-44,F,10,16,12,27081.00,9.00,? 10.77,1,1,,100,0.03%,? 1.20,828.51%
738408,19-08-2017,19-08-2017,40-44,F,16,22,22,20233.00,4.00,? 5.59,3,0,,0,0.02%,? 1.40,-100.00%
738413,19-08-2017,19-08-2017,40-44,F,16,17,19,147159.00,36.00,? 58.16,3,1,,100,0.02%,? 1.62,71.94%
738423,19-08-2017,19-08-2017,40-44,F,18,20,24,21664.00,7.00,? 10.62,1,1,,100,0.03%,? 1.52,841.62%
738436,19-08-2017,19-08-2017,40-44,F,19,21,20,9112.00,4.00,? 5.46,1,1,,100,0.04%,? 1.37,1731.50%
738463,20-08-2017,20-08-2017,40-44,F,21,23,24,542.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
738528,19-08-2017,19-08-2017,40-44,F,30,34,33,402.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
738560,19-08-2017,19-08-2017,40-44,F,64,70,66,1338.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
738582,19-08-2017,19-08-2017,45-49,F,10,16,12,46150.00,15.00,? 20.18,1,1,,100,0.03%,? 1.35,395.54%
738592,20-08-2017,20-08-2017,45-49,F,16,22,20,493821.00,116.00,? 176.38,4,1,,100,0.02%,? 1.52,-43.30%
738593,20-08-2017,20-08-2017,45-49,F,16,17,21,92011.00,27.00,? 34.39,2,1,,100,0.03%,? 1.27,190.78%
738598,21-08-2017,21-08-2017,45-49,F,18,23,24,12956.00,4.00,? 5.49,1,1,,100,0.03%,? 1.37,1721.49%
738606,21-08-2017,21-08-2017,45-49,F,19,20,23,529.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
738637,21-08-2017,21-08-2017,45-49,F,24,26,30,944.00,1.00,? 1.42,1,0,,0,0.11%,? 1.42,-100.00%
738648,18-08-2017,18-08-2017,45-49,F,26,30,27,111090.00,38.00,? 51.97,5,1,,100,0.03%,? 1.37,92.42%
747212,18-08-2017,18-08-2017,30-34,M,10,16,14,7208.00,2.00,? 3.19,1,0,,0,0.03%,? 1.60,-100.00%
747213,18-08-2017,18-08-2017,30-34,M,10,12,11,1746.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
747220,18-08-2017,18-08-2017,30-34,M,15,17,16,2474.00,0.00,? 0.00,2,2,,200,0.00%,? 0.00,0.00%
747222,18-08-2017,18-08-2017,30-34,M,16,22,20,12489.00,2.00,? 1.96,1,0,,0,0.02%,? 0.98,-100.00%
747223,18-08-2017,18-08-2017,30-34,M,16,18,18,8032.00,1.00,? 0.60,2,0,,0,0.01%,? 0.60,-100.00%
747248,21-08-2017,21-08-2017,30-34,M,21,24,24,472.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
747332,21-08-2017,21-08-2017,30-34,M,64,68,65,792.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
747362,21-08-2017,21-08-2017,35-39,M,15,16,18,4607.00,1.00,? 1.15,1,1,,100,0.02%,? 1.15,8595.65%
747369,21-08-2017,21-08-2017,35-39,M,16,17,21,13355.00,2.00,? 3.18,1,1,,100,0.01%,? 1.59,3044.65%
747370,20-08-2017,20-08-2017,35-39,M,16,17,19,2936.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
747401,21-08-2017,21-08-2017,35-39,M,22,25,25,2793.00,1.00,? 0.98,1,1,,100,0.04%,? 0.98,10104.08%
747435,21-08-2017,21-08-2017,35-39,M,28,29,30,1032.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
747439,21-08-2017,21-08-2017,35-39,M,29,35,33,1662.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
747489,21-08-2017,21-08-2017,40-44,M,2,7,6,4016.00,2.00,? 1.48,1,1,,100,0.05%,? 0.74,6656.76%
747514,21-08-2017,21-08-2017,40-44,M,16,20,17,14843.00,3.00,? 2.94,1,1,,100,0.02%,? 0.98,3301.36%
747645,21-08-2017,21-08-2017,45-49,M,10,14,13,9674.00,3.00,? 4.60,1,1,,100,0.03%,? 1.53,2073.91%
747659,25-08-2017,25-08-2017,45-49,M,16,21,17,12186.00,2.00,? 2.67,1,0,,0,0.02%,? 1.33,-100.00%
747675,25-08-2017,25-08-2017,45-49,M,20,22,21,673.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
747678,25-08-2017,25-08-2017,45-49,M,21,27,23,370.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
747712,24-08-2017,24-08-2017,45-49,M,26,30,29,450.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
747790,24-08-2017,24-08-2017,30-34,F,10,12,14,2077.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
747791,25-08-2017,25-08-2017,30-34,F,10,14,13,31393.00,8.00,? 10.96,1,1,,100,0.03%,? 1.37,812.41%
747795,25-08-2017,25-08-2017,30-34,F,15,21,18,8410.00,2.00,? 2.36,1,1,,100,0.02%,? 1.18,4137.29%
747798,25-08-2017,25-08-2017,30-34,F,16,21,20,25884.00,5.00,? 7.35,1,0,,0,0.02%,? 1.47,-100.00%
747824,25-08-2017,25-08-2017,30-34,F,21,24,23,608.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
747828,25-08-2017,25-08-2017,30-34,F,22,24,24,28488.00,10.00,? 9.34,1,0,,0,0.04%,? 0.93,-100.00%
747852,24-08-2017,24-08-2017,30-34,F,26,32,32,10126.00,3.00,? 4.62,1,0,,0,0.03%,? 1.54,-100.00%
747859,24-08-2017,24-08-2017,30-34,F,27,32,33,22572.00,5.00,? 8.50,1,0,,0,0.02%,? 1.70,-100.00%
747863,24-08-2017,24-08-2017,30-34,F,27,30,33,1955.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
747879,24-08-2017,24-08-2017,30-34,F,30,36,31,493.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
747903,24-08-2017,24-08-2017,30-34,F,63,69,69,1491.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
747911,24-08-2017,24-08-2017,30-34,F,64,66,66,1495.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
747968,24-08-2017,24-08-2017,35-39,F,21,27,24,512.00,0.00,? 0.00,0,0,,0,0.00%,? 0.00,0.00%
747991,24-08-2017,24-08-2017,35-39,F,25,31,27,4868.00,2.00,? 2.42,1,0,,0,0.04%,? 1.21,-100.00%
748000,24-08-2017,24-08-2017,35-39,F,26,27,32,6585.00,2.00,? 2.95,1,0,,0,0.03%,? 1.48,-100.00%
748007,24-08-2017,24-08-2017,35-39,F,27,29,28,10164.00,2.00,? 3.72,1,1,,100,0.02%,? 1.86,2588.17%
748014,24-08-2017,24-08-2017,35-39,F,29,31,35,11182.00,4.00,? 4.45,1,0,,0,0.04%,? 1.11,-100.00%
748045,25-08-2017,25-08-2017,35-39,F,63,69,64,1238.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
748086,25-08-2017,25-08-2017,40-44,F,16,19,18,34127.00,8.00,? 13.07,1,0,,0,0.02%,? 1.63,-100.00%
748087,26-08-2017,26-08-2017,40-44,F,16,22,19,29466.00,7.00,? 10.85,2,0,,0,0.02%,? 1.55,-100.00%
748089,26-08-2017,26-08-2017,40-44,F,16,18,21,38759.00,9.00,? 10.85,1,0,,0,0.02%,? 1.21,-100.00%
748091,26-08-2017,26-08-2017,40-44,F,16,17,19,41720.00,10.00,? 12.06,1,1,,100,0.02%,? 1.21,729.19%
748225,26-08-2017,26-08-2017,45-49,F,15,16,17,18602.00,5.00,? 8.86,1,0,,0,0.03%,? 1.77,-100.00%
748230,26-08-2017,26-08-2017,45-49,F,16,17,20,83929.00,21.00,? 27.73,4,1,,100,0.03%,? 1.32,260.62%
748231,27-08-2017,27-08-2017,45-49,F,16,18,21,25194.00,6.00,? 7.35,1,0,,0,0.02%,? 1.22,-100.00%
748233,27-08-2017,27-08-2017,45-49,F,16,22,18,78627.00,19.00,? 26.53,1,0,,0,0.02%,? 1.40,-100.00%
748235,26-08-2017,26-08-2017,45-49,F,16,18,19,102695.00,25.00,? 39.43,3,0,,0,0.02%,? 1.58,-100.00%
748294,26-08-2017,26-08-2017,45-49,F,27,32,31,82827.00,24.00,? 47.93,3,0,,0,0.03%,? 2.00,-100.00%
748295,26-08-2017,26-08-2017,45-49,F,27,31,32,9240.00,3.00,? 6.04,1,0,,0,0.03%,? 2.01,-100.00%
748303,25-08-2017,25-08-2017,45-49,F,29,32,33,7706.00,2.00,? 2.37,1,0,,0,0.03%,? 1.18,-100.00%
748314,25-08-2017,25-08-2017,45-49,F,31,34,32,7821.00,4.00,? 6.34,1,1,,100,0.05%,? 1.59,1477.29%
748341,25-08-2017,25-08-2017,45-49,F,64,67,68,1363.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
776318,25-08-2017,25-08-2017,45-49,F,15,16,19,3569.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
